######################################################
24-Sep-2023 17:24:45:Finished extracted the data for iris
24-Sep-2023 17:24:55:Error of round 375 : 0.061686 

24-Sep-2023 17:24:55:Error of round 376 : 0.061646 

24-Sep-2023 17:24:55:Error of round 377 : 0.061606 

24-Sep-2023 17:24:55:Error of round 378 : 0.061567 

24-Sep-2023 17:24:55:Error of round 379 : 0.061528 

24-Sep-2023 17:24:55:Error of round 380 : 0.061488 

24-Sep-2023 17:24:55:Error of round 381 : 0.061449 

24-Sep-2023 17:24:55:Error of round 382 : 0.061411 

24-Sep-2023 17:24:55:Error of round 383 : 0.061372 

24-Sep-2023 17:24:55:Error of round 384 : 0.061334 

24-Sep-2023 17:24:55:Error of round 385 : 0.061296 

24-Sep-2023 17:24:55:Error of round 386 : 0.061258 

24-Sep-2023 17:24:55:Error of round 387 : 0.061220 

24-Sep-2023 17:24:55:Error of round 388 : 0.061183 

24-Sep-2023 17:24:55:Error of round 389 : 0.061145 

24-Sep-2023 17:24:55:Error of round 390 : 0.061108 

24-Sep-2023 17:24:55:Error of round 391 : 0.061071 

24-Sep-2023 17:24:55:Error of round 392 : 0.061035 

24-Sep-2023 17:24:55:Error of round 393 : 0.060998 

24-Sep-2023 17:24:55:Error of round 394 : 0.060962 

24-Sep-2023 17:24:55:Error of round 395 : 0.060925 

24-Sep-2023 17:24:55:Error of round 396 : 0.060889 

24-Sep-2023 17:24:55:Error of round 397 : 0.060854 

24-Sep-2023 17:24:55:Error of round 398 : 0.060818 

24-Sep-2023 17:24:55:Error of round 399 : 0.060782 

24-Sep-2023 17:24:55:Error of round 400 : 0.060747 

24-Sep-2023 17:24:55:Error of round 401 : 0.060712 

24-Sep-2023 17:24:55:Error of round 402 : 0.060677 

24-Sep-2023 17:24:55:Error of round 403 : 0.060642 

24-Sep-2023 17:24:55:Error of round 404 : 0.060607 

24-Sep-2023 17:24:55:Error of round 405 : 0.060573 

24-Sep-2023 17:24:55:Error of round 406 : 0.060539 

24-Sep-2023 17:24:55:Error of round 407 : 0.060505 

24-Sep-2023 17:24:55:Error of round 408 : 0.060471 

24-Sep-2023 17:24:55:Error of round 409 : 0.060437 

24-Sep-2023 17:24:55:Error of round 410 : 0.060403 

24-Sep-2023 17:24:55:Error of round 411 : 0.060370 

24-Sep-2023 17:24:55:Error of round 412 : 0.060336 

24-Sep-2023 17:24:55:Error of round 413 : 0.060303 

24-Sep-2023 17:24:55:Error of round 414 : 0.060270 

24-Sep-2023 17:24:56:Error of round 415 : 0.060237 

24-Sep-2023 17:24:56:Error of round 416 : 0.060204 

24-Sep-2023 17:24:56:Error of round 417 : 0.060172 

24-Sep-2023 17:24:56:Error of round 418 : 0.060139 

24-Sep-2023 17:24:56:Error of round 419 : 0.060107 

24-Sep-2023 17:24:56:Error of round 420 : 0.060075 

24-Sep-2023 17:24:56:Error of round 421 : 0.060043 

24-Sep-2023 17:24:56:Error of round 422 : 0.060011 

24-Sep-2023 17:24:56:Error of round 423 : 0.059979 

24-Sep-2023 17:24:56:Error of round 424 : 0.059948 

24-Sep-2023 17:24:56:Error of round 425 : 0.059916 

24-Sep-2023 17:24:56:Error of round 426 : 0.059885 

24-Sep-2023 17:24:56:Error of round 427 : 0.059854 

24-Sep-2023 17:24:56:Error of round 428 : 0.059823 

24-Sep-2023 17:24:56:Error of round 429 : 0.059792 

24-Sep-2023 17:24:56:Error of round 430 : 0.059761 

24-Sep-2023 17:24:56:Error of round 431 : 0.059731 

24-Sep-2023 17:24:56:Error of round 432 : 0.059700 

24-Sep-2023 17:24:56:Error of round 433 : 0.059670 

24-Sep-2023 17:24:56:Error of round 434 : 0.059640 

24-Sep-2023 17:24:56:Error of round 435 : 0.059610 

24-Sep-2023 17:24:56:Error of round 436 : 0.059580 

24-Sep-2023 17:24:56:Error of round 437 : 0.059550 

24-Sep-2023 17:24:56:Error of round 438 : 0.059520 

24-Sep-2023 17:24:56:Error of round 439 : 0.059491 

24-Sep-2023 17:24:56:Error of round 440 : 0.059461 

24-Sep-2023 17:24:56:Error of round 441 : 0.059432 

24-Sep-2023 17:24:56:Error of round 442 : 0.059403 

24-Sep-2023 17:24:56:Error of round 443 : 0.059374 

24-Sep-2023 17:24:56:Error of round 444 : 0.059345 

24-Sep-2023 17:24:56:Error of round 445 : 0.059316 

